name,lat,lng,country,category,added_by,added_at,note
佩里托莫雷諾冰川步道,-50.468971,-73.033376,阿根廷,未分類,mars,2026-05-03,
艾菲爾鐵塔,48.858093,2.294694,法國,未分類,mars,2026-05-03,
羅馬競技場,41.890209,12.492231,義大利,未分類,mars,2026-05-03,
自由女神像,40.689247,-74.044502,美國,未分類,mars,2026-05-03,
雪梨歌劇院,-33.856159,151.215256,澳洲,未分類,mars,2026-05-03,
泰姬瑪哈陵,27.173891,78.042068,印度,未分類,mars,2026-05-03,
帆船酒店花園,25.141046,55.185494,杜拜,未分類,mars,2026-05-03,
鳥取縣 北榮町（柯南）,35.492782,133.759124,日本,未分類,mars,2026-05-03,
東京迪士尼 長髮公主,35.628459,139.87995,日本,未分類,mars,2026-05-03,
唐老鴨雕像,4.810691,-74.098393,哥倫比亞,未分類,mars,2026-05-03,
布拉格天文鐘,50.08692,14.420822,布拉格,未分類,mars,2026-05-03,
川越 Miffy & Snoopy,35.923732,139.482955,日本,未分類,mars,2026-05-03,
環球影城日本 (Super Nintendo World),34.665394,135.432526,日本,未分類,mars,2026-05-03,
布萊德島,46.361605,14.090046,斯洛維尼亞,未分類,mars,2026-05-03,
倫敦大笨鐘,51.500854,-0.124554,英國,未分類,mars,2026-05-03,
彰化扇形車庫,24.085361,120.539459,台灣,未分類,mars,2026-05-03,
佛羅倫斯聖母百花聖殿,43.773027,11.256912,義大利,未分類,mars,2026-05-03,少人
埃及金字塔,29.9723,31.1285,,未分類,mars,2026-05-03,
無頭人雕像,37.9055,22.8788,希臘,未分類,mars,2026-05-03,
宇賀神社,34.9764,135.7633,日本,未分類,mars,2026-05-03,
淡路島公園 蠟筆小新,34.5743,135.0049,日本,未分類,mars,2026-05-03,
東京迪士尼 史迪仔,35.629924,139.881278,日本,未分類,mars,2026-05-03,
凡爾賽宮花園,48.806101,2.115641,法國,未分類,mars,2026-05-03,
阿姆斯特丹水壩廣場,52.3731,4.892351,荷蘭,未分類,mars,2026-05-03,
東京 明治神宮（御神籤）,35.6723,139.6928,日本,未分類,mars,2026-05-03,
東京 淺草寺（御神籤）,35.714661,139.796783,日本,未分類,mars,2026-05-03,
京都 清水寺（御神籤）,34.9948,135.7846,日本,未分類,mars,2026-05-03,
京都 愛宕念佛寺（1200石像・冷門）,35.031359,135.661119,日本,未分類,mars,2026-05-03,嵐山山腳 1200尊表情幽默石像 超安靜
和歌山 熊野那智大社（世界遺產・冷門）,33.66861,135.89056,日本,未分類,mars,2026-05-03,世界遺產 俯瞰133m瀑布 和歌山山區
山形 立石寺（懸崖寺廟・冷門）,38.313253963037326,140.43464208447864,日本,未分類,mars,2026-05-03,建在懸崖上 東北地區 遊客極少
山形 熊野大社（冷門）,38.07905197938322,140.13713592911853,日本,未分類,mars,2026-05-03,山形縣
花農點,10.795937,106.669843,越南胡志明市,未分類,mars,2026-05-03,
城市少人,48.8179,11.4586,德國黑普貝格,未分類,mars,2026-05-03,
南京復興,25.051624,121.544023,台灣,未分類,mars,2026-05-03,
馬丘比丘,-13.163068,-72.545128,秘魯,明信片花點,mars,2026-05-03,
富士之櫻,35.4422,138.6029,日本,明信片花點,mars,2026-05-03,
卡帕多奇亞熱氣球,38.656099,34.840963,土耳其,明信片花點,mars,2026-05-03,
昂星團望遠鏡,19.8254395,-155.4762455,美國夏威夷,明信片花點,mars,2026-05-03,
聖科洛曼教堂,47.57872,10.74939,德國,明信片花點,mars,2026-05-03,
新天鵝堡,47.562449,10.7384,德國,明信片花點,mars,2026-05-03,
藥萊花園,38.578319,140.722579,日本,明信片花點,mars,2026-05-03,
大宮花之丘,35.943625,139.590097,日本,明信片花點,mars,2026-05-03,
清萊白龍寺,19.824184,99.763842,泰國,明信片花點,mars,2026-05-03,
萊西河瀑布,47.562001,10.694757,德國,明信片花點,mars,2026-05-03,
黑教堂,64.8214,-23.3857,冰島,明信片花點,mars,2026-05-03,
亞眠主教座堂,49.894814,2.301292,法國,明信片花點,mars,2026-05-03,
皇后溪 Space Mural,33.261585,-111.635234,美國亞利桑那州,明信片花點,mars,2026-05-03,
Kedarnath Temple,30.734754,79.066951,印度凱達爾納特,明信片花點,mars,2026-05-03,
聖阿方索教堂,-2.897095,-79.002728,南美厄瓜多昆卡,明信片花點,mars,2026-05-03,少人城市
昭和記念公園花之丘,35.714636,139.397042,日本東京,明信片花點,mars,2026-05-03,
舊葦見橋花點,35.685326,139.414036,日本立川,明信片花點,mars,2026-05-03,
長部田海床路,32.703967,130.581307,日本熊本,明信片花點,mars,2026-05-03,
幸福的階梯,34.513099,134.869537,日本神戶,明信片花點,mars,2026-05-03,幸福階梯、鞦韆、鐘
蠟筆小新,34.5746,135.005,日本兵庫縣淡路市,明信片花點,mars,2026-05-03,
進擊的巨人銅像,33.243695,130.957568,日本日田市,明信片花點,mars,2026-05-03,
Hängebrücke Stams 吊橋,47.285991,10.985223,奧地利,明信片花點,mars,2026-05-03,
鹿兒島海之展望所,31.582421,130.564466,日本,明信片菇點,mars,2026-05-03,
Sant'Eufemia 小教堂,46.118806,9.278723,義大利,明信片菇點,mars,2026-05-03,義大利北部 Musso
嚴島神社大鳥居,34.2959,132.3197,日本,明信片菇點,mars,2026-05-03,
秋田駒岳山頂,39.757273,140.79465,日本,明信片菇點,mars,2026-05-03,
金剛輪寺 三重塔,35.161758,136.283008,日本,明信片菇點,mars,2026-05-03,
羚羊谷,36.86224808678582,-111.3743924897564,美國,明信片菇點,mars,2026-05-03,
獅身人面像,29.975283,31.137795,埃及,明信片菇點,mars,2026-05-03,
溫德米爾湖 Ambleside Pier,54.419961,-2.96231,英國,明信片菇點,mars,2026-05-03,少人
愛因斯坦,5.824387,-73.023066,哥倫比亞,明信片菇點,mars,2026-05-03,
安努普利山山頂,42.8747,140.6588,日本北海道二世古,明信片菇點,mars,2026-05-03,
大腳踏車,-38.6735,176.069,紐西蘭,明信片菇點,mars,2026-05-03,
